id,user_id,name,description,visibility,questions,created_at,created_by,updated_at,updated_by
11,34,Music,A quiz about Music,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-01-01 10:47:22,34,2025-01-01 10:47:22,34
12,26,Music,A quiz about Music,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-10-01 10:47:22,26,2024-10-01 10:47:22,26
13,24,Science,A quiz about Science,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-10-21 10:47:22,24,2024-10-21 10:47:22,24
14,50,NodeJS,A quiz about NodeJS,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2024-11-22 10:47:22,50,2024-11-22 10:47:22,50
15,12,History,A quiz about History,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-05-27 10:47:22,12,2024-05-27 10:47:22,12
16,100,Geography,A quiz about Geography,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-08-19 10:47:22,100,2024-08-19 10:47:22,100
17,50,Music,A quiz about Music,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-12-18 10:47:22,50,2024-12-18 10:47:22,50
18,33,Movies,A quiz about Movies,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Movies artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-06-15 10:47:22,33,2024-06-15 10:47:22,33
19,72,Music,A quiz about Music,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-03-08 10:47:22,72,2025-03-08 10:47:22,72
20,77,Mathematics,A quiz about Mathematics,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Mathematics artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-01-23 10:47:22,77,2025-01-23 10:47:22,77
21,28,.NET,A quiz about .NET,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is .NET?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": "".NET is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is .NET open-source?"", ""answer"": true, ""explanation"": "".NET is open-source.""}]",2024-04-19 10:47:22,28,2024-04-19 10:47:22,28
22,53,Football,A quiz about Football,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Football artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-12-19 10:47:22,53,2024-12-19 10:47:22,53
23,75,Geography,A quiz about Geography,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-10-17 10:47:22,75,2024-10-17 10:47:22,75
24,66,Movies,A quiz about Movies,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Movies artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-11-12 10:47:22,66,2024-11-12 10:47:22,66
25,44,Movies,A quiz about Movies,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Movies artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-08-26 10:47:22,44,2024-08-26 10:47:22,44
26,52,Mathematics,A quiz about Mathematics,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Mathematics artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-08-31 10:47:22,52,2024-08-31 10:47:22,52
27,65,Football,A quiz about Football,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Football artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-08-29 10:47:22,65,2024-08-29 10:47:22,65
28,69,NodeJS,A quiz about NodeJS,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2024-07-06 10:47:22,69,2024-07-06 10:47:22,69
29,29,Mathematics,A quiz about Mathematics,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Mathematics artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-07-23 10:47:22,29,2024-07-23 10:47:22,29
30,55,Football,A quiz about Football,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Football artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-03-18 10:47:22,55,2025-03-18 10:47:22,55
31,25,.NET,A quiz about .NET,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is .NET?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": "".NET is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is .NET open-source?"", ""answer"": true, ""explanation"": "".NET is open-source.""}]",2024-07-17 10:47:22,25,2024-07-17 10:47:22,25
32,60,ReactJS,A quiz about ReactJS,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is ReactJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""ReactJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is ReactJS open-source?"", ""answer"": true, ""explanation"": ""ReactJS is open-source.""}]",2024-07-06 10:47:22,60,2024-07-06 10:47:22,60
33,65,Mathematics,A quiz about Mathematics,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Mathematics artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-09-11 10:47:22,65,2024-09-11 10:47:22,65
34,40,History,A quiz about History,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-07-09 10:47:22,40,2024-07-09 10:47:22,40
35,83,ReactJS,A quiz about ReactJS,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is ReactJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""ReactJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is ReactJS open-source?"", ""answer"": true, ""explanation"": ""ReactJS is open-source.""}]",2024-09-28 10:47:22,83,2024-09-28 10:47:22,83
36,34,NodeJS,A quiz about NodeJS,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2024-05-14 10:47:22,34,2024-05-14 10:47:22,34
37,9,NodeJS,A quiz about NodeJS,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2024-11-23 10:47:22,9,2024-11-23 10:47:22,9
38,87,Football,A quiz about Football,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Football artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-05-23 10:47:22,87,2024-05-23 10:47:22,87
39,60,Geography,A quiz about Geography,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-08-03 10:47:22,60,2024-08-03 10:47:22,60
40,36,History,A quiz about History,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-08-18 10:47:22,36,2024-08-18 10:47:22,36
41,90,NodeJS,A quiz about NodeJS,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2025-02-04 10:47:22,90,2025-02-04 10:47:22,90
42,86,Mathematics,A quiz about Mathematics,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Mathematics artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-03-14 10:47:22,86,2025-03-14 10:47:22,86
43,71,Football,A quiz about Football,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Football artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-01-26 10:47:22,71,2025-01-26 10:47:22,71
44,96,Art,A quiz about Art,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Art artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-11-07 10:47:22,96,2024-11-07 10:47:22,96
45,14,History,A quiz about History,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-04-29 10:47:22,14,2024-04-29 10:47:22,14
46,64,Geography,A quiz about Geography,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-06-20 10:47:22,64,2024-06-20 10:47:22,64
47,90,NodeJS,A quiz about NodeJS,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2025-02-26 10:47:22,90,2025-02-26 10:47:22,90
48,44,NodeJS,A quiz about NodeJS,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2024-05-24 10:47:22,44,2024-05-24 10:47:22,44
49,93,Movies,A quiz about Movies,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Movies artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-09-20 10:47:22,93,2024-09-20 10:47:22,93
50,18,ReactJS,A quiz about ReactJS,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is ReactJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""ReactJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is ReactJS open-source?"", ""answer"": true, ""explanation"": ""ReactJS is open-source.""}]",2024-07-10 10:47:22,18,2024-07-10 10:47:22,18
51,88,Movies,A quiz about Movies,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Movies artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-02-16 10:47:22,88,2025-02-16 10:47:22,88
52,88,Music,A quiz about Music,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-10-10 10:47:22,88,2024-10-10 10:47:22,88
53,27,ReactJS,A quiz about ReactJS,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is ReactJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""ReactJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is ReactJS open-source?"", ""answer"": true, ""explanation"": ""ReactJS is open-source.""}]",2024-12-25 10:47:22,27,2024-12-25 10:47:22,27
54,80,Music,A quiz about Music,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-06-06 10:47:22,80,2024-06-06 10:47:22,80
55,95,Art,A quiz about Art,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Art artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-02-10 10:47:22,95,2025-02-10 10:47:22,95
56,9,NodeJS,A quiz about NodeJS,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2024-05-06 10:47:22,9,2024-05-06 10:47:22,9
57,43,ReactJS,A quiz about ReactJS,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is ReactJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""ReactJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is ReactJS open-source?"", ""answer"": true, ""explanation"": ""ReactJS is open-source.""}]",2024-09-29 10:47:22,43,2024-09-29 10:47:22,43
58,78,History,A quiz about History,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2025-02-12 10:47:22,78,2025-02-12 10:47:22,78
59,53,Music,A quiz about Music,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-07-12 10:47:22,53,2024-07-12 10:47:22,53
60,15,History,A quiz about History,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-05-01 10:47:22,15,2024-05-01 10:47:22,15
61,70,Science,A quiz about Science,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-09-22 10:47:22,70,2024-09-22 10:47:22,70
62,95,Geography,A quiz about Geography,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-05-05 10:47:22,95,2024-05-05 10:47:22,95
63,32,Science,A quiz about Science,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-05-01 10:47:22,32,2024-05-01 10:47:22,32
64,22,Geography,A quiz about Geography,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-11-14 10:47:22,22,2024-11-14 10:47:22,22
65,25,Geography,A quiz about Geography,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who discovered gravity?"", ""choices"": [{""answer"": ""Newton"", ""correct"": true}, {""answer"": ""Einstein"", ""correct"": false}], ""explanation"": ""Isaac Newton discovered gravity.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is the Earth flat?"", ""answer"": false, ""explanation"": ""The Earth is round.""}]",2024-10-18 10:47:22,25,2024-10-18 10:47:22,25
66,40,Art,A quiz about Art,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Art artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2025-01-20 10:47:22,40,2025-01-20 10:47:22,40
67,65,NodeJS,A quiz about NodeJS,public,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""What is NodeJS?"", ""choices"": [{""answer"": ""A framework"", ""correct"": true}, {""answer"": ""A database"", ""correct"": false}], ""explanation"": ""NodeJS is a technology.""}, {""index"": 2, ""type"": ""true_false"", ""question"": ""Is NodeJS open-source?"", ""answer"": true, ""explanation"": ""NodeJS is open-source.""}]",2024-11-08 10:47:22,65,2024-11-08 10:47:22,65
68,42,Music,A quiz about Music,private,"[{""index"": 1, ""type"": ""multiple_choice"", ""question"": ""Who is a famous Music artist?"", ""choices"": [{""answer"": ""Picasso"", ""correct"": true}, {""answer"": ""Newton"", ""correct"": false}], ""explanation"": ""Picasso is an artist.""}]",2024-08-07 10:47:22,42,2024-08-07 10:47:22,42
